fiscal_year,quarter,loan_type,metric,value,source_file,fiscal_period,total_outstanding_bn_all_types
2017,Q4,Parent PLUS,dollars_outstanding_bn,83.9,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Parent PLUS,recipients_mm,3.5,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Perkins,dollars_outstanding_bn,7.6,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Perkins,recipients_mm,2.5,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Consolidation,dollars_outstanding_bn,480.3,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Consolidation,recipients_mm,12.0,PortfoliobyLoanType.xls,2017_Q4,2102.5
2018,Q1,Stafford Subsidized,dollars_outstanding_bn,272.2,PortfoliobyLoanType.xls,2018_Q1,2110.9
2018,Q1,Stafford Subsidized,recipients_mm,29.6,PortfoliobyLoanType.xls,2018_Q1,2110.9
2018,Q1,Stafford Unsubsidized,dollars_outstanding_bn,463.3,PortfoliobyLoanType.xls,2018_Q1,2110.9
2018,Q1,Stafford Unsubsidized,recipients_mm,28.4,PortfoliobyLoanType.xls,2018_Q1,2110.9
2018,Q1,Stafford (Combined),dollars_outstanding_bn,735.5,PortfoliobyLoanType.xls,2018_Q1,2110.9
2018,Q1,Stafford (Combined),unique_recipients_mm,33.0,PortfoliobyLoanType.xls,2018_Q1,2110.9
2018,Q1,Grad PLUS,dollars_outstanding_bn,59.6,PortfoliobyLoanType.xls,2018_Q1,2110.9
2018,Q1,Grad PLUS,recipients_mm,1.2,PortfoliobyLoanType.xls,2018_Q1,2110.9
2018,Q1,Parent PLUS,dollars_outstanding_bn,83.7,PortfoliobyLoanType.xls,2018_Q1,2110.9
2018,Q1,Parent PLUS,recipients_mm,3.5,PortfoliobyLoanType.xls,2018_Q1,2110.9
2018,Q1,Perkins,dollars_outstanding_bn,7.6,PortfoliobyLoanType.xls,2018_Q1,2110.9
2018,Q1,Perkins,recipients_mm,2.5,PortfoliobyLoanType.xls,2018_Q1,2110.9
2018,Q1,Consolidation,dollars_outstanding_bn,489.0,PortfoliobyLoanType.xls,2018_Q1,2110.9
2018,Q1,Consolidation,recipients_mm,12.0,PortfoliobyLoanType.xls,2018_Q1,2110.9
2018,Q2,Stafford Subsidized,dollars_outstanding_bn,276.4,PortfoliobyLoanType.xls,2018_Q2,2160.0
2018,Q2,Stafford Subsidized,recipients_mm,29.5,PortfoliobyLoanType.xls,2018_Q2,2160.0
2018,Q2,Stafford Unsubsidized,dollars_outstanding_bn,476.6,PortfoliobyLoanType.xls,2018_Q2,2160.0
2018,Q2,Stafford Unsubsidized,recipients_mm,28.3,PortfoliobyLoanType.xls,2018_Q2,2160.0
2018,Q2,Stafford (Combined),dollars_outstanding_bn,753.0,PortfoliobyLoanType.xls,2018_Q2,2160.0
2018,Q2,Stafford (Combined),unique_recipients_mm,32.9,PortfoliobyLoanType.xls,2018_Q2,2160.0
2018,Q2,Grad PLUS,dollars_outstanding_bn,62.8,PortfoliobyLoanType.xls,2018_Q2,2160.0
2018,Q2,Grad PLUS,recipients_mm,1.2,PortfoliobyLoanType.xls,2018_Q2,2160.0
2018,Q2,Parent PLUS,dollars_outstanding_bn,87.7,PortfoliobyLoanType.xls,2018_Q2,2160.0
2018,Q2,Parent PLUS,recipients_mm,3.5,PortfoliobyLoanType.xls,2018_Q2,2160.0
2018,Q2,Perkins,dollars_outstanding_bn,7.6,PortfoliobyLoanType.xls,2018_Q2,2160.0
2018,Q2,Perkins,recipients_mm,2.5,PortfoliobyLoanType.xls,2018_Q2,2160.0
2018,Q2,Consolidation,dollars_outstanding_bn,495.9,PortfoliobyLoanType.xls,2018_Q2,2160.0
2018,Q2,Consolidation,recipients_mm,11.9,PortfoliobyLoanType.xls,2018_Q2,2160.0
2018,Q3,Stafford Subsidized,dollars_outstanding_bn,274.2,PortfoliobyLoanType.xls,2018_Q3,2164.0
2018,Q3,Stafford Subsidized,recipients_mm,29.1,PortfoliobyLoanType.xls,2018_Q3,2164.0
2018,Q3,Stafford Unsubsidized,dollars_outstanding_bn,477.8,PortfoliobyLoanType.xls,2018_Q3,2164.0
2018,Q3,Stafford Unsubsidized,recipients_mm,28.0,PortfoliobyLoanType.xls,2018_Q3,2164.0
